Path,Old Status,New Status,Old Final URL,New Final URL,Title Match,Old Title,New Title,Desc Match,Old Desc,New Desc,H1 Match,Old H1,New H1,New Canonical
/,200,200,https://www.didactirion.gr/,http://localhost:3000/,NO,Φροντιστηριακός Οργανισμός Διδακτήριον – απαίτησε την κορυφή!,Φροντιστήριο Μέσης Εκπαίδευσης Διδακτήριον | Διδακτήριον,NO,Missing,"Απαίτησε την κορυφή! Φροντιστήριο Μέσης Εκπαίδευσης στις Αχαρνές. Προγράμματα Γυμνασίου & Λυκείου, Πανελλαδικές, υπολογισμός μορίων.",NO,Φροντιστηριακός Οργανισμός Διδακτήριον,Απαίτησετην κορυφή!,https://www.didactirion.gr
/οι-καθηγητές/,200,200,https://www.didactirion.gr/%CE%BF%CE%B9-%CE%BA%CE%B1%CE%B8%CE%B7%CE%B3%CE%B7%CF%84%CE%AD%CF%82/,http://localhost:3000/organization/teachers,NO,Οι καθηγητές μας και οι μόνιμοι συνεργάτες – Φροντιστηριακός Οργανισμός Διδακτήριον,Οι Καθηγητές μας | Διδακτήριον,NO,Missing,Γνωρίστε την έμπειρη εκπαιδευτική ομάδα του Διδακτήριον: καθηγητές με πάθος για τη διδασκαλία και την επιτυχία κάθε μαθητή.,NO,Φροντιστηριακός Οργανισμός Διδακτήριον,Οι Καθηγητές μας,https://www.didactirion.gr/organization/teachers
/oi-kathigites-mas-kai-oi/,404,200,https://www.didactirion.gr/oi-kathigites-mas-kai-oi/,http://localhost:3000/organization/teachers,NO,N/A,Οι Καθηγητές μας | Διδακτήριον,NO,N/A,Γνωρίστε την έμπειρη εκπαιδευτική ομάδα του Διδακτήριον: καθηγητές με πάθος για τη διδασκαλία και την επιτυχία κάθε μαθητή.,NO,N/A,Οι Καθηγητές μας,https://www.didactirion.gr/organization/teachers
/επιτυχόντες/,200,200,https://www.didactirion.gr/%CE%B5%CF%80%CE%B9%CF%84%CF%85%CF%87%CF%8C%CE%BD%CF%84%CE%B5%CF%82/,http://localhost:3000/organization/success-stories,NO,Επιτυχόντες – Φροντιστηριακός Οργανισμός Διδακτήριον,Επιτυχόντες | Διδακτήριον,NO,Missing,Ιστορίες επιτυχίας μαθητών του Διδακτήριον: εισαγωγές σε πανεπιστήμια και σχολές ανά έτος.,NO,Φροντιστηριακός Οργανισμός Διδακτήριον,Οι Επιτυχόντες μας,https://www.didactirion.gr/organization/success-stories
/epitychontes/,404,200,https://www.didactirion.gr/epitychontes/,http://localhost:3000/organization/success-stories,NO,N/A,Επιτυχόντες | Διδακτήριον,NO,N/A,Ιστορίες επιτυχίας μαθητών του Διδακτήριον: εισαγωγές σε πανεπιστήμια και σχολές ανά έτος.,NO,N/A,Οι Επιτυχόντες μας,https://www.didactirion.gr/organization/success-stories
/αυτόματος-υπολογισμός-βάσεων-μορίων/,200,200,https://www.didactirion.gr/%CE%B1%CF%85%CF%84%CF%8C%CE%BC%CE%B1%CF%84%CE%BF%CF%82-%CF%85%CF%80%CE%BF%CE%BB%CE%BF%CE%B3%CE%B9%CF%83%CE%BC%CF%8C%CF%82-%CE%B2%CE%AC%CF%83%CE%B5%CF%89%CE%BD-%CE%BC%CE%BF%CF%81%CE%AF%CF%89%CE%BD/,http://localhost:3000/points-calculator,NO,Αυτόματος Υπολογισμός Μορίων – Φροντιστηριακός Οργανισμός Διδακτήριον,Υπολογισμός Μορίων | Διδακτήριον,NO,Missing,Αυτόματος υπολογισμός βάσεων μορίων για τις Πανελλαδικές Εξετάσεις. Διδακτήριον.,NO,Φροντιστηριακός Οργανισμός Διδακτήριον,Υπολογισμός Μορίων,https://www.didactirion.gr/points-calculator
/ypologismos-morion/,404,200,https://www.didactirion.gr/ypologismos-morion/,http://localhost:3000/points-calculator,NO,N/A,Υπολογισμός Μορίων | Διδακτήριον,NO,N/A,Αυτόματος υπολογισμός βάσεων μορίων για τις Πανελλαδικές Εξετάσεις. Διδακτήριον.,NO,N/A,Υπολογισμός Μορίων,https://www.didactirion.gr/points-calculator
/γ-λυκείου/,404,200,https://www.didactirion.gr/%CE%B3-%CE%BB%CF%85%CE%BA%CE%B5%CE%AF%CE%BF%CF%85/,http://localhost:3000/curricula/high-school,NO,N/A,"Λύκειο (Α, Β, Γ) | Διδακτήριον",NO,N/A,Εξειδικευμένη προετοιμασία για τις Πανελλαδικές Εξετάσεις.,NO,N/A,"Λύκειο (Α, Β, Γ)",https://www.didactirion.gr/curricula/high-school
/g-lykeiou/,404,200,https://www.didactirion.gr/g-lykeiou/,http://localhost:3000/curricula/high-school,NO,N/A,"Λύκειο (Α, Β, Γ) | Διδακτήριον",NO,N/A,Εξειδικευμένη προετοιμασία για τις Πανελλαδικές Εξετάσεις.,NO,N/A,"Λύκειο (Α, Β, Γ)",https://www.didactirion.gr/curricula/high-school
/γενικά-θέματα-άρθρα/,404,200,https://www.didactirion.gr/%CE%B3%CE%B5%CE%BD%CE%B9%CE%BA%CE%AC-%CE%B8%CE%AD%CE%BC%CE%B1%CF%84%CE%B1-%CE%AC%CF%81%CE%B8%CF%81%CE%B1/,http://localhost:3000/announcements,NO,N/A,Ανακοινώσεις & Άρθρα | Διδακτήριον,NO,N/A,"Νέα, ανακοινώσεις και άρθρα από το Διδακτήριον: εξετάσεις, προγράμματα και εκπαιδευτικές ενημερώσεις.",NO,N/A,Ανακοινώσεις & Νέα,https://www.didactirion.gr/announcements
/genika-themata-arthra/,404,200,https://www.didactirion.gr/genika-themata-arthra/,http://localhost:3000/announcements,NO,N/A,Ανακοινώσεις & Άρθρα | Διδακτήριον,NO,N/A,"Νέα, ανακοινώσεις και άρθρα από το Διδακτήριον: εξετάσεις, προγράμματα και εκπαιδευτικές ενημερώσεις.",NO,N/A,Ανακοινώσεις & Νέα,https://www.didactirion.gr/announcements
/organization/teachers,404,200,https://www.didactirion.gr/organization/teachers,http://localhost:3000/organization/teachers,NO,N/A,Οι Καθηγητές μας | Διδακτήριον,NO,N/A,Γνωρίστε την έμπειρη εκπαιδευτική ομάδα του Διδακτήριον: καθηγητές με πάθος για τη διδασκαλία και την επιτυχία κάθε μαθητή.,NO,N/A,Οι Καθηγητές μας,https://www.didactirion.gr/organization/teachers
/points-calculator,404,200,https://www.didactirion.gr/points-calculator,http://localhost:3000/points-calculator,NO,N/A,Υπολογισμός Μορίων | Διδακτήριον,NO,N/A,Αυτόματος υπολογισμός βάσεων μορίων για τις Πανελλαδικές Εξετάσεις. Διδακτήριον.,NO,N/A,Υπολογισμός Μορίων,https://www.didactirion.gr/points-calculator
